작업의뢰명,작업의뢰내용,시스템명,금전대고객구분
서류제출 가접수 대상 취소건 제외 처리,"1. 내용			
_   서류제출 가접수 대상 취소건 제외 처리			
			
2. 작업완료일			
    _2025. 12. 9(화)			
",홈페이지시스템_대표홈페이지(HI-HH),3
(대표플랫폼)_운영개선_kcb 실명확인 연동전문 개발 및 회원가입 화면 수정,"(대표플랫폼)_운영개선_kcb 실명확인 연동전문 개발 및 회원가입 화면 수정
실명확인 본인기관 변경(SCI→KCB)에 따른 연동전문개발 및 회원 가입화면 수정",홈페이지시스템_대표홈페이지(HI-HH),3
2025_10_29_시세하락손해 카드뉴스 홈페이지 등록,업무기술서 참조,MDS시스템_자동차(MD_MT),3
S포탈 설계매니저 월별 성과 및 소득 신규화면 개발, ,Hi-S포탈(HI-sPortal),3
안내문(행다모) 26년 2월보험료 요율 지연에 따른 보험료 변동가능 문구추가,안내문(행다모) 26년 2월보험료 요율 지연에 따른 보험료 변동가능 문구추가,MDS시스템_장기계약(MD_LC),3
하이헬스챌린지 알림톡 발송(개인정보 이용),작업의뢰서 참고,하이헬스챌린지 배치(HHC_HB),3
[개발] 대표 IOS 신규 앱업데이트 개발 요청,"26.2 공동인증서 로그인 보안키패드 노출 수정
백그라운드 CI 이미지 수정",홈페이지시스템_대표홈페이지(HI-HH),3
1월 대표플랫폼 이벤트,"운영 이벤트 ID : 202601001
검증 이벤트 ID : 202512002

pc 링크 : https://shop.hi.co.kr/bin/MM/RR/CRMR0239G.jsp?param=E72&cg=PC_BANR
mo링크 : https://shop.hi.co.kr/bin/MM/RR/CRMR0239G.jsp?param=E72&cg=MO_BANR",홈페이지시스템_대표홈페이지(HI-HH),3
펫보험 개정에 따른 보험료계산 정비,.,홈페이지시스템_대표홈페이지(HI-HH),3
하이헬스챌린지 알림톡 발송(개인정보 이용),작업의뢰서 참고 (템플릿코드 : DGKK0016),하이헬스챌린지 배치(HHC_HB),3
대표 플랫폼_자동차_단특가입_운특연특_보험료비교 개발 (개발),첨부파일 참조 ,홈페이지시스템_대표홈페이지(HI-HH),3
대표 플랫폼_보험계약대출_유의사항 內 우대 할인금리 문구 추가,첨부파일 참조 ,홈페이지시스템_대표홈페이지(HI-HH),3
(대표플랫폼)_운영개선_kcb실명확인서비스적용(보장분석),보장분석 서비스관련 실명확인 신규업체(kcb) 변경 적용건,홈페이지시스템_대표홈페이지(HI-HH),3
공시실_자동차보험 할인할증등급_변경_26.01.01 책임개시일,.,홈페이지시스템_대표홈페이지(HI-HH),3
"상품몰_(1차) 건강,자녀 카테고리 변경_헤더",.,홈페이지시스템_대표홈페이지(HI-HH),3
대표플랫폼 앱 지문인증전자서명 화면 전환 개선 작업_IOS,업무기술서 참조바랍니다. ,홈페이지시스템_대표홈페이지(HI-HH),3
작업의뢰_앱 초화면 로고 변경 작업_ios,업무기술서 참조 바랍니다. ,하이헬스챌린지 앱(HHC_HP),3
보험금 청구 서비스 안내 실손 24 관련 문구 및 바로가기 변경,"1. 내용		
_  보험금 청구 서비스 안내 실손 24 관련 문구 및 바로가기 변경		
2. 작업완료일	
    _ 2025. 12. 23 (화)	
",홈페이지시스템_대표홈페이지(HI-HH),3
간편고지 내용에 대한 계약자확인 양식개선 VO배포," 1) 양식명 : 간편심사 내용에대한 계약자확인
 2) 자원명
   _ LTMPI290VO.java private String issuCat;       //발행구분",MDS시스템_공통(MD_ZZ),3
[개발] 대표플랫폼 모바일 인터넷상품 팝업 변경,"[개발] 대표플랫폼 모바일 인터넷상품 팝업 변경
_ 퍼펙트종합보험 추가 및 암,건강보험 삭제",홈페이지시스템_대표홈페이지(HI-HH),3
[작업요청] 상품개정_2025.05월_퍼펙트,상품개정_2025.05월_퍼펙트,장기전략파트,3
[작업요청] 상품개정_2025.05월_하이콜퍼펙트,상품개정_2025.05월_하이콜퍼펙트,장기전략파트,3
굿앤굿스타(연만기) 상품개정 업무요청," 1. 대상채널 : 영업포탈/하이포탈					
					
 2. 대상상품					
      _  무배당 굿앤굿스타(연만기)					
     					
 					
  3. 내용					
					
    1. 신규보종및 신규 구조작업 진행 (일반고지 / 건강고지 통합운영)     					
    2. 신담보 76개					
    3. 담보교체 40개(4월 open 담보)   					
    4. 연령변경 24개 (4월 open 담보) 					
    5. 할증담보 삭제 3개					
  ※ 할증포함및 플랜 4개운영예정 (TM 포함)       					
					
  4. 보험료 차등적용					
     _ 별도 통보예정					
					
 5. 요청사항					
   ？？ 가. 전산실 레이아웃 작업？？					
   ？？ 나. 상품 구조 및 룰 작업？？					
   ？？ 다. 보험료 / 준비금 테이블 작업？？					
   ？？ 라. 가입설계 시스템 상품 반영？？					
					
 5. 판매예정일					
      _ 판매예정일 : 2025,05.12(월)					
					
 6. 완료요청일 : 2025.05.23(금)					
					
   					
",장기전략파트,3
25.5상품개정 양식 추가작업 요청,"25,5 상품개정 양식 추가작업 요청",장기전략파트,3
25.5월 상품개정 추가사항에 따른 담보매핑 작업 요청,25.5 상품추가개정에 따른 담보매핑 작업요청,장기전략파트,3
(S포탈) 25.05월 상품개정_굿앤굿스타(연만기),"  1. 대상상품					
    _굿앤굿스타(연만기)					
  2. 내용					
    _종형신설					
    _담보신설					
     전이암주요치료비, 항암방사선(중입자)치료, 간병인사용일당(상급종합병원), 전신마취수술(2시간)(상급종합병원) 담보 등					
    _가필란 추가, 양식 신설					
     항암방사선(중입자)치료 담보 관련					
  3. 판매예정일					
    _2025.5.14(수)					",장기전략파트,3
"굿앤굿스타(연만기) 상품개정 업무요청					"," 1. 대상채널 : 영업포탈/하이포탈					
					
 2. 대상상품					
      _  무배당 굿앤굿스타(연만기)					
     					
 					
  3. 내용					
					
    1. 신규보종및 신규 구조작업 진행 (일반고지 / 건강고지 통합운영)     					
    2. 신담보 76개					
    3. 담보교체 40개(4월 open 담보)   					
    4. 연령변경 24개 (4월 open 담보) 					
    5. 할증담보 삭제 3개					
  ※ 할증포함및 플랜 4개운영예정 (TM 포함)       					
					
  4. 보험료 차등적용					
     _ 별도 통보예정					
					
 5. 요청사항					
   ？？ 가. 전산실 레이아웃 작업？？					
   ？？ 나. 상품 구조 및 룰 작업？？					
   ？？ 다. 보험료 / 준비금 테이블 작업？？					
   ？？ 라. 가입설계 시스템 상품 반영？？					
					
 5. 판매예정일					
      _ 판매예정일 : 2025,05.12(월)					
					
 6. 완료요청일 : 2025.05.23(금)					
					
",장기전략파트,3
25.7월 상품개정 반영요청,"1. 대상상품 : 무배당하이드림저축보험 (12A0)
2. 변경사항 : 12A0 금리연동형(2종) 신설
3. 작업내용
 1) 전산실 레이아웃 작업？？？？？？？？？？？？？？
 2) 상품 구조 및 룰 작업？？？？？？？？？？？？？？
 3) 보험료 / 준비금 테이블 작업？？？？？？？？？？？？？？
？4) 가입설계 시스템 상품 반영
4. 전산반영
1) 가입제안서 / 청약서 / 증권 양식별 적용",장기전략파트,3
[작업요청] 상품개정_25.07월 퍼펙트 상품개정 ,상품개정_25.07월 퍼펙트 상품개정 ,장기전략파트,3
[작업요청] 상품개정_25.07월 하이콜퍼펙트 상품개정 ,상품개정_25.07월 퍼펙트 상품개정 ,장기전략파트,3
[작업요청] 상품개정_25.07월 저축 상품개정 ,상품개정_25.07월 저축 상품개정 ,장기전략파트,3
"(S포탈) 25.07월 상품개정_(내삶엔, 퍼펙트 등)","  1. 대상상품					
    _내삶엔, 퍼펙트 등					
  2. 내용					
    _담보신설 및 삭제					
  3. 판매예정일					
    _2025.7.1(화)					",장기전략파트,3
25.7월 상품개정에 따른 전자서명 보종코드 신규등록,"1) 25.7월 상품개정에 따른 전자서명 보종코드 신규등록
2) 25,7월 신규보종코드 총 10개",장기전략파트,3
25.7월 상품개정에 따른 증권 반영요청,"1) 25.7월 상품개정에 따른 증권 반영요청 
2) 25.7월 신규보종코드 총 10개 
3) 증권 양식에 추가되는 사항은 없으므로, 트랜스 증권 작업의뢰 발생대상건 아님",장기전략파트,3
25.8월 상품개정에 따른 전자서명 보종코드 신규등록,"1) 25.8월 상품개정에 따른 전자서명 보종코드 신규등록
2) 25.8월 신규보종코드 총 4개 ",장기전략파트,3
[작업요청] 상품개정_2025.08월 퍼펙트,[작업요청] 상품개정_2025.08월 퍼펙트,장기전략파트,3
[작업요청] 상품개정_2025.08월 하이콜퍼펙트,상품개정_2025.08월 하이콜퍼펙트,장기전략파트,3
25.7월 상품개정 양식작업 (트랜스코스모스) 요청,트랜스코스모스 레이아웃변경 및 구분자 추가,장기전략파트,3
[작업요청] 상품개정_2025.08월_하이콜퍼펙트(가벼운납입형),상품개정_2025.08월_하이콜퍼펙트(가벼운납입형),장기전략파트,3
[작업요청] 상품개정_2025.08월_퍼펙트(가벼운납입형),상품개정_2025.08월_퍼펙트(가벼운납입형),장기전략파트,3
25.8월 상품개정에 따른 양식작업 요청," _. 3N5 신상품 : 중대 질병에 대한 고지기간 확대(5년) _ 계약전알릴의무 변경				
 _. 퍼펙트세만기 가벼운납입형 신설 : 초년도 보험료의 10%씩 총 5년간 체증,무사고전환 _ 신양식 추가
 _ TM 운전자보험 _ 골프관련 담보신설에 따른 양식추가외 .",장기전략파트,3
(S포탈) 25.08월 상품개정,"  1. 대상상품					
    _‘상품현황‘ 시트 참조					
  2. 내용					
    _신상품					
    _담보신설 및 삭제					
  3. 판매예정일					
    _2025. 8. 1(금)					",장기전략파트,3
25.9월 상품개정에 따른 전자서명 보종코드 신규등록," 1) 25.9월 상품개정에 따른 전자서명 보종코드 신규등록
 1) 25.9월 신규보종코드 총 4개 
_ 저축보험 : 129R, 12A1 , 204V, 20A1 ",장기전략파트,3
25.8월2차 상품개정에 따른 전자서명 보종코드 신규등록,"1) 25.8월2차 상품개정에 따른 전자서명 보종코드 신규등록
2) 보종코드 : 13B0 , 23B0",장기전략파트,3
(S포탈) 25.08월 상품개정_‘보험료 현명한납입형‘ 신설,"  1. 대상상품					
    _퍼펙트종합보험_‘보험료 현명한납입형‘ 신설   *하이콜퍼펙트종합보험 포함					
  2. 내용					
    _종형 신설					
    _보험료 현명한납입형 : 기준보험료에서 1년 주기로 기준보험료의 10%씩 체증한 금액을 보장보험료로 납입하며, 총 5회 체증함.					
      보험료 기본납입형 : 납입기간 동안 일정한 보장보험료를 납입함.					
  3. 판매예정일					
    _2025.9.1(월)					",장기전략파트,3
2025.09월 상품개정 작업_저축(OFF),"1. 대상상품 : 2개 보종(129Q)(12A0)
    129Q_무배당하이드림저축보험(Hi2505)
    12A0_무배당금리혼헙형저축보험(HI2507)
2. 요청사항
？？ 가. 전산실 레이아웃 작업？？？？？？？？？？？？？？
？？ 나. 상품 구조 및 룰 작업？？？？？？？？？？？？？？
？？ 다. 보험료 / 준비금 테이블 작업？？？？？？？？？？？？？？
？？ 라. 가입설계 시스템 상품 반영
3. 주요 변경내용 
   가. 적용이율 변경 등
4.？전산반영
？ _가입제안서/청약서/증권 양식별 적용",장기전략파트,3
2025.9.1 상품개정에 따른 양식작업 요청,"어린이Q /태아실손보험/ 계약전알릴의무 변경 외 굿앤굿스타, 저축보험 양식작업 등",장기전략파트,3
[작업요청] 상품개정_2025.09월_방카 저축,[작업요청] 상품개정_2025.09월_방카 저축,장기전략파트,3
(S포탈) ‘25.9월 상품개정,"1. 대상상품
   _  장기 9월 상품개정 (간편한3.10.10, 굿앤굿스타보험, 어린이종합Q 등)
2. 요청사항   
 _. 간편한3.10.10 : 3대질환 주요 검사비 담보 및 마취 관련 담보 신설
 _. 스타종합 : 주력상품에 기신설된 담보추가, 상해,치료나 외모관련 특화담보 신설, 감염병진단신설
 _. 어린이종합Q : 태아보험의 알릴의무 6_2 내용 중 인공수정 항목 삭제",장기전략파트,3
[작업요청] 상품개정_2025.09월_퍼펙트(현명한납입형),상품개정_2025.09월_퍼펙트(현명한납입형),장기전략파트,3
[작업요청] 상품개정_2025.09월_하이콜퍼펙트(현명한납입형),상품개정_2025.09월_하이콜퍼펙트(현명한납입형),장기전략파트,3
[작업요청] 2025.10월_상품개정_간병보험_일반심사형,2025.10월_상품개정_간병보험_일반심사형,장기전략파트,3
"25,09,22_상품개정 제안서 작업"," 1) 보종코드 : 200R
 2) 갱신종료나이
    _ 1종, 2종, 3종 : 담보코드 2DS0, 2CDZ (2개)
    _ 유첨시트 참조
",장기전략파트,3
[작업요청] 2025.10월_상품개정_간병보험 기본게약 가입금액 입력화면,2025.10월_상품개정_간병보험 기본게약 가입금액 입력화면,장기전략파트,3
25.10.01 상품개정 증권 작업,"1) 대상보종코드 : 167C, 169C , 11C1, 11D1, 11H1, 11J1
 _ 상해재택간병인지원보장(입원간병인사용1일당,최대180회)(간편건강고지)(갱신형)
 _ 질병재택간병인지원보장(입원간병인사용1일당,최대180회)(간편건강고지)(갱신형)
2) 대상보종코드 : 15H0, 15J0
 _ 기본계약
3) 유첨파일 참조",장기전략파트,3
25.10상품개정양식작업요청,25.10월개성 양식작업요청 (마음을더하는케어간병인보험외),장기전략파트,3
(S포탈)‘25.10월 상품개정 ,"1. 대상상품
  _ 상품목록 시트 참조
2. 내용
   가. (신상품) 무배당현대해상마음을더하는케어간병인보험(연만기갱신형)
      _담보신설 : 상해/질병재택간병인지원보장(입원간병인사용1일당,최대180회) 담보 등 *전환용 포함
      _화면신설 : 기본계약 및 선택특약(간병인지원보장관련) 현물/현금 지급별 가입금액 선택화면
   나. (상품개정) 무배당현대해상하이카운전자보험
      _담보신설 : 자동차사고변호사/법률비용손해(민사소송,가족), 주요치료비(상해,자동차사고,관절), 자동차중대사고부상지원(운전자) 등
   다. 간편한3.10.10(연만기갱신형,세만기형)/ 내삶엔(일반심사)(연만기갱신형,세만기형)
      _상해/질병재택간병인지원보장(입원간병인사용1일당,최대180회) 담보 *전환용포함",장기전략파트,3
(S포탈) ‘25.9월 상품개정_굿앤굿어린이종합Q,"1. 대상상품
   _  굿앤굿어린이종합Q
2. 요청사항   
 _. 어린이/모성자/부양자 전용 담보 신설, 
    고손해율 담보(부정교합, 상해수술Ⅱ, 수족구진단) 및 척추전방전위증 수술관련담보 개정",장기전략파트,3
25.10.01 상품개정 제안서 작업,"1) 납만기 : 120C
2) 갱신종료나이 :  169C, 11H1, 11J1, 120C
3) 보장문구 강조(빨강색) : ①입원 또는 통원 치료당 1회 ②치료당1회
4) 갱신담보 보험료예시표 하단 문구추가
 _ 보종코드 : 15H0, 15J0
 _ 보종코드 : 167C, 169C, 11C1, 11D1 , 11H1 , 11J1 (6개)
5) 유첨시트 참조

",장기전략파트,3
[작업요청] 2025.10월_상품개정_간병보험_간편고지형,2025.10월_상품개정_간병보험_간편고지형,장기전략파트,3
25.10상품개정_청약서 內 동의서 상품 반영,업무기술서 참고,디지털기획파트,3
25.10.01 상품개정에 따른 전자서명 보종코드 신규등록,"1) 25.10.01 상품개정에 따른 전자서명 보종코드 신규등록
2) 25.10.01 신규보종코드 총 3개 
3) 발송내용 : 가입제안서, 휴대폰전자서명
4) 상품LIST 시트 참조",장기전략파트,3
2025.9 어린이종합Q 상품개정에 따른 양식작업 요청,어린이종합Q  상품개정 양식작업 상세내용 파일참조,장기전략파트,3
25.11월 상품개정에 따른 전자서명 보종코드 신규등록,"1) 25.11.1 상품개정 보종코드변경 6개
2) 25.11.5 상품개정 보종코드변경 2개
※ 상품LIST 유첨파일 참조
",장기전략파트,3
‘25. 11월 상품개정에 따른 양식작업  요청 (태블릿),"오투 맞춤간편보험 : 3년/4년 고지유형 종형 신설, 무사고 계약전환 제도 신설(태블릿)",장기전략파트,3
25.11월 상품개정 제안서 작업,"1) 펫보험 126H, 110H 
   _ 납만기 1년만기",장기전략파트,3
‘25. 11월 상품개정에 따른 양식작업  요청,"오투 맞춤간편보험 : 3년/4년 고지유형 종형 신설, 무사고 계약전환 제도 신설외",장기전략파트,3
25.11월 상품개정관련 펫보험 보장문구 작업,"1) 대상보종 : 126G , 110G
2) 의료비확장 보장 담보 제안서, 청약서, 상품설명서 발행시 자기부담금 보여지지 않게 반영
3) 담보코드 : 유첨파일 시트 참조",장기전략파트,3
(S포탈)‘25.11월 상품개정 ,"1. 대상상품
  _ 오투맞춤간편건강보험
2. 내용
   가. 3년/4년 고지유형 종형 신설
   나. 무사고 계약전환 제도 신설
3. 판매개시일 : 2025.11.1(토)",장기전략파트,3
25. 12월 상품개정에 따른 양식작업  요청 (CM),현대해상다이렉트 퍼펙트종합보험(연만기갱신형)(Hi2512)？ 양식작업 *파일첨부.,장기전략파트,3
25.11월 25일 상품개정에 따른 전자서명 보종코드 신규등록,"1) 신규코드 : 11P0 
2) 상품LIST 시트 참조
",장기전략파트,3
[작업요청] 2025.11월_상품개정_퍼펙트,2025.11월_상품개정_퍼펙트,장기전략파트,3
25. 11월 상품개정에 따른 양식작업  요청 (트랜스코스모스),"오투 맞춤간편보험 : 3년/4년 고지유형 종형 신설, 무사고 계약전환 제도 신설(트랜스코스모스)",장기전략파트,3
[작업요청] 2025.11월_상품개정_하이콜퍼펙트,2025.11월_상품개정_하이콜퍼펙트,장기전략파트,3
[작업요청] 2025.11월_상품개정에 따른 설계저장 제어,2025.11월_상품개정에 따른 설계저장 제어,장기전략파트,3
[작업요청] 상품개정_2025.12월_담보판매종료,상품개정_2025.12월_담보판매종료,장기전략파트,3
(S포탈)‘25.11월 추가 상품개정 ,"1. 배경？？？
？_？장기 11월 상품개정 (간편한3.10.10, 내삶엔, 퍼펙트플러스 종합 등)
？？？
2. 요청사항？？？
？_. 내삶엔, 3.10.10, 퍼펙트플러스종합 : 재택간병인지원일달 등 당사 신규담보 추가
？_. 배포 : 11.13, 판매개시 : 11.14",장기전략파트,3
2025.11 상품개정 및 담보추가에 따른 양식작업 요청,"내삶엔, 3.10.10, 퍼펙트플러스종합 재택간병인지원일당 등 당사 신규담보 추가
양식작업",장기전략파트,3
실손상품(실손 +실손전환) 12월 상품개정," 1. 대상채널 : 영업포탈/하이포탈					
					
 2. 대상상품					
      _  실손상품군 					
         (실손의료비, 실손의료비(계약전환용))					
 					
  3. 내용					
    ▶ 위험률변경+적용이율변경					
    ▶ 실손의료비보장 보험료 안정화 할인율 변경					
 					
					
  4. 보험료 차등적용					
     _ 변동 사항 無					
					
 5. 요청사항					
   ？？ 가. 전산실 레이아웃 작업？？					
   ？？ 나. 상품 구조 및 룰 작업？？					
   ？？ 다. 가입설계 시스템 상품 반영					
 					
					
 5. 판매예정일					
      _ 판매예정일 : 2026,01.01(목)					
					
 6. 완료요청일 : 2026.01.12(월)					
					
",장기시스템파트,3
26.01_상품개정_청약서 內 동의서및설명 제거 요청,업무기술서 참조 바랍니다.,디지털기획파트,3
굿앤굿어린이종합Q 12월 상품개정," 1. 대상채널 : 영업포탈/하이포탈					
					
 2. 대상상품					
      _  무배당 굿앤굿어린이종합Q					
     					
 					
  3. 내용					
    ▶ 기초율변경					
    ▶ 담보신설및 삭제, 변경등 					
 					
					
  4. 보험료 차등적용					
     _ 변동 사항 無					
					
 5. 요청사항					
   ？？ 가. 전산실 레이아웃 작업？？					
   ？？ 나. 상품 구조 및 룰 작업？？					
   ？？ 다. 가입설계 시스템 상품 반영					
 					
					
 5. 판매예정일					
      _ 판매예정일 : 2026,01.01(목)					
					
 6. 완료요청일 : 2026.01.12(월)					
",장기시스템파트,3
[작업요청] 2025.12월_상품개정_마더케어 판매종료,2025.12월_상품개정_마더케어 판매종료,장기시스템파트,3
(S포탈) 25.12월 상품개정,"1. 대상채널 : S포탈  			
2. 대상상품     			
  _간편상품군, 굿앤굿스타, 퍼펙트보험 등			
3. 변경내용     			
    1) 하이클래스암주요치료비II 담보추가			
    2) 위험률변경+적용이율변경			
    3) 실손의료비보장 보험료 안정화 할인율 변경			
",장기시스템파트,3
26.1월 골든타임상품개정작업의뢰,26.1월 골든타임상품개정작업의뢰,장기시스템파트,3
26.1월 개정 _ 두배받는암보험 상품개정 작업의뢰,26.1월 개정 _ 두배받는암보험 상품개정 작업의뢰,장기시스템파트,3
실손상품(노후실손 + 유병력자) 12월 상품개정," 1. 대상채널 : 영업포탈/하이포탈					
					
 2. 대상상품					
      _  실손상품군 					
         (노후실손 + 유병력자실손)					
 					
  3. 내용					
    ▶ 위험률변경+적용이율변경					
    ▶ 실손의료비보장 보험료 안정화 할인율 변경					
 					
					
  4. 보험료 차등적용					
     _ 변동 사항 無					
					
 5. 요청사항					
   ？？ 가. 전산실 레이아웃 작업？？					
   ？？ 나. 상품 구조 및 룰 작업？？					
   ？？ 다. 가입설계 시스템 상품 반영					
 					
					
 5. 판매예정일					
      _ 판매예정일 : 2026,01.01(목)					
					
 6. 완료요청일 : 2026.01.12(월)					
",장기시스템파트,3
치아상품군 1월 상품개정," 1. 대상채널 : 영업포탈/하이포탈					
					
 2. 대상상품					
      _  무배당현대해상밝게웃는얼굴치아보험(연만기갱신형)(Hi2601)					
      _  무배당현대해상굿앤굿어린이치아보험(Hi2601)					
 					
  3. 내용					
    ▶ 기초율변경					
					
 					
					
  4. 보험료 차등적용					
     _ 변동 사항 無					
					
 5. 요청사항					
   ？？ 가. 전산실 레이아웃 작업？？					
   ？？ 나. 상품 구조 및 룰 작업？？					
   ？？ 다. 가입설계 시스템 상품 반영					
 					
					
 5. 판매예정일					
      _ 판매예정일 : 2026,01.01(목)					
					
 6. 완료요청일 : 2026.01.12(월)					
					
",장기시스템파트,3
[작업요청] 상품개정_2026.01월_단체,상품개정_2026.01월_단체,장기시스템파트,3
[작업요청] 상품개정_2026.01월_방카,상품개정_2026.01월_방카,장기시스템파트,3
[작업요청] 상품개정_2026.01월_신상품_암보험,상품개정_2026.01월_신상품_암보험,장기시스템파트,3
[작업요청] 상품개정_2026.01월_하이콜퍼펙트,상품개정_2026.01월_하이콜퍼펙트,장기시스템파트,3
